Location,Type,Name
"40.685788085502544, -73.85306501365895",Spray Shower,London Planetree Playground
"40.87710413743773, -73.87706123466076",Spray Shower,Plgd w/ Mini Pool & Courts
"40.87762743575234, -73.87738572521785",Spray Shower,Williamsbridge Oval
"40.82568727692989, -73.95374995326786",Spray Shower,Riverbank Plgd
"40.83195303921325, -73.90760498723284",Spray Shower,Morgan Playground
"40.765194408933965, -73.9587213697007",Spray Shower,St. Catherine's Park
"40.725392047825984, -74.00257971959817",Spray Shower,Vesuvio Playground
"40.72563549362124, -74.002351827191603",Pool,Vesuvio Mini Pool
"40.87348920581894, -73.83897537170606",Spray Shower,Haffen Park Playground
"40.87444743038688, -73.839429932616369",Pool,Haffen Wading Pool
"40.8743013365522, -73.839375396743648",Pool,Haffen Pool
"40.810941129529816, -73.92296422198912",Spray Shower,Willis Playground
"40.71366297035393, -73.95436164012594",Spray Shower,Jaime Campiz Playground
"40.74299023303831, -73.96051025681285",Spray Shower,Hunter's Point South Park Playground North
"40.67310816014818, -73.8540787885418",Spray Shower,Addabbo Playground
"40.77379521039458, -73.94487699936123",Spray Shower,Catbird Playground
"40.85890697253519, -73.93447190407039",Spray Shower,Jacob Javits Plgd
"40.8652033355414, -73.92895740252253",Spray Shower,Anne Loftus Plgd
"40.85902139209035, -73.93494224368276",Spray Shower,Jacob Javits Playground
"40.86518687600201, -73.92907533233927",Spray Shower,Anne Loftus Playground
"40.78907263719222, -73.93802530663078",Spray Shower,East River Playground
"40.7161711119986, -74.00177945001256",Spray Shower,Collect Pond Park
"40.79731679517226, -73.93544251218898",Spray Shower,P.S. 155 Playground
"40.79917221464707, -73.96600104027475",Spray Shower,Bloomingdale Playground
"40.77760592750561, -73.98410192290625",Spray Shower,Matthew P. Sapolin Playground
"40.756472242724364, -73.87435676011154",Spray Shower,Northern Playground
"40.713263239364515, -73.75832491132806",Spray Shower,Haggerty Park
"40.73564403042009, -73.80546431050286",Spray Shower,Electric Playground
